#,Prohibited,,,,,
M1.S1,M1,M1,Smin,1.4,,ER0045
M1.SC,M1(C),M1(C),Smin,10.0,,ERCSIO05
M1.CO,M1,CO(S),Fmin,0.8,,ER0051
M1.CC,M1,CO(C),Fmin,1.2,,ERCSIO02
M1.CL,M1,CO(L),Fmin,1.2,,ER1305
M1.SW,M1(W),M1,Smin,2.0,,ER1402
V1.W1,V1,,Wfix,1.4,,ER0022
V1.S1,V1,V1,Smin,1.5,,ER0046
V1.M1,V1,M1,Emin,1.0,,ER0052
V1.GC,V1,GC,Smin,1.2,,ER1508
V1.CO,V1,CO,Smin,1.0,,ER1506
V1.CL,V1,CO(L),Smin,1.4,,ER1507
M2.W1,M2,,Wmin,3.0,,ER0023
M2.S1,M2,M2,Smin,2.0,,ER0047
M2.V1,M2,V1,Fmin,1.0,,ER0052
#,ESD related,,,,,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name
APE.WM,PMOSE,APE-GC,Wmin/max,11.0,60.0,Table I-2-1
APE.LM,PMOSE,GC-ANE,Lmin/max,2.0,30.0,Table I-2-1
APE.AN,APE,AN,Smin,10.0,,ERWLMPE15
APE.XY,APE,Bevel,XYmin,1.4,,ERMPE06
APE.CO,APE,CO,Smin,2.0,,ERWLMPE16
ANE.WM,NMOSE,ANE-GC,Wmin/max,11.0,60.0,Table I-2-1
ANE.LM,NMOSE,GC-ANE,Lmin/max,2.0,30.0,Table I-2-1
ANE.AP,ANE,AP,Smin,10.0,,ERWLMN14
ANE.XY,ANE,Bevel,XYmin,1.4,,ERMNE15
ANE.CO,ANE,CO,Smin,2.0,,ERWLMN15
COE.W1,CO(E) ,,Wfix,3.0,,ERMPE12/ERMNE13
COE.S1,CO(E) ,CO(E) ,Smin,1.6,,ERMPE13/ERMNE15
CDE.GC,CD(E),GC,Smin,7.0,,ERMPE04/ERMNE08
CSE.GC,CS(E),GC,Smin,3.0,,ERMPE03/ERMNE09
COE.AP,CO(E) ,AP,Emin,4.0,,ERMPE05/ERMPE31
COE.AN,CO(E) ,AN,Emin,4.0,,ERMNE10/ERMNE32
#,PAD related,,,,,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name
PO.W1,PO,,Wmin,70.0,,ER1809
PO.S1,PO,PO,Smin,64.0,,ER1810
M2.PO,M2(P),PO,Fmin,5.0,,ER1703
M1.PO,M1(P),PO,Fmin,5.0,,ER1704
PO.V1,PO,V1(P),Emin,10.0,,ER1811/ER1703
PO.AP,PO,AP,Smin,14.0,,ER1808
PO.AN,PO,AN,Smin,14.0,,ER1808
PO.GC,PO,GC,Smin,14.0,,ER1807
PO.M1,PO,M1,Smin,14.0,,ER1801
PO.M2,PO,M2,Smin,14.0,,ER1802
M2.PE,M2,,EXTL,19.0,,ER1803
M2.PW,M2,,EXTW,40.0,,ER1803
M1.PE,M2,,EXTL,19.0,,ER1804
M1.PW,M2,,EXTW,40.0,,ER1804
#,Electrical,,,,,
Rule,L1,L2,Func,MIN,MAX,IP62 Rule Name
GC.ANT,GC+GR,,ANT,0.0,,
,,,,,,
